                 , Pokedex, Living, Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
Plant Cloak      ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Sandy Cloak      ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Trash Cloak      ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
414 Mothim       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
415 Combee       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  7,     ,   
416 Vespiquen    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  7,     ,   
417 Pachirisu    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
418 Buizel       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
419 Floatzel     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
420 Cherubi      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
421 Cherrim      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Overcast         ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Sunny            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
422 Shellos      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
East             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
West             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
423 Gastrodon    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
East             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
West             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
424 Ambipom      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
425 Drifloon     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
426 Drifblim     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
427 Buneary      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
428 Lopunny      ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -,  8,     ,   
429 Mismagius    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
430 Honchkrow    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
431 Glameow      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
432 Purugly      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
433 Chingling    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
434 Stunky       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
435 Skuntank     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
436 Bronzor      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
437 Bronzong     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
438 Bonsly       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
439 Mime Jr.     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
440 Happiny      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
441 Chatot       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
442 Spiritomb    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
443 Gible        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
444 Gabite       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
445 Garchomp     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
446 Munchlax     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
447 Riolu        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
448 Lucario      ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -,  8,     ,   
449 Hippopotas   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
450 Hippowdon    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
451 Skorupi      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
452 Drapion      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
453 Croagunk     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
454 Toxicroak    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
455 Carnivine    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
456 Finneon      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
457 Lumineon     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
458 Mantyke      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
459 Snover       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
460 Abomasnow    ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
461 Weavile      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
462 Magnezone    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
463 Lickilicky   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
464 Rhyperior    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
465 Tangrowth    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
466 Electivire   ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
467 Magmortar    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
468 Togekiss     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
469 Yanmega      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
470 Leafeon      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
471 Glaceon      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
472 Gliscor      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
473 Mamoswine    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
474 Porygon-Z    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
475 Gallade      ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 10,     ,   
476 Probopass    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
477 Dusknoir     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
478 Froslass     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
479 Rotom        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Heat             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Wash             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Frost            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Fan              ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Mow              ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
480 Uxie         ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -,  8,     ,   
481 Mesprit      ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -,  8,     ,   
482 Azelf        ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -,  8,     ,   
483 Dialga       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Origin           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Altered          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
484 Palkia       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Origin           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Altered          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
485 Heatran      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
486 Regigigas    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
487 Giratina     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Origin           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Altered          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
488 Cresselia    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
489 Phione       , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
490 Manaphy      , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
491 Darkrai      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
492 Shaymin      ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Land             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Sky              ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
493 Arceus       , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
UNOVA            ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
494 Victini      ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
495 Snivy        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
496 Servine      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
497 Serperior    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
498 Tepig        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
499 Pignite      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
500 Emboar       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
501 Oshawott     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
502 Dewott       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
503 Samurott     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Hisuian          ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
504 Patrat       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
505 Watchog      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
506 Lillipup     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
507 Herdier      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
508 Stoutland    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
509 Purrloin     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
510 Liepard      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
511 Pansage      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
512 Simisage     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
513 Pansear      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
514 Simisear     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
515 Panpour      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
516 Simipour     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
517 Munna        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
518 Musharna     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
519 Pidove       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
520 Tranquill    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
521 Unfezant     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
522 Blitzle      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
523 Zebstrika    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
524 Roggenrola   ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
525 Boldore      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
526 Gigalith     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
527 Woobat       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
528 Swoobat      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
529 Drilbur      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
530 Excadrill    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
531 Audino       ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -,  8,     ,   
532 Timburr      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
533 Gurdurr      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
534 Conkeldurr   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
535 Tympole      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
536 Palpitoad    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
537 Seismitoad   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
538 Throh        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
539 Sawk         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
540 Sewaddle     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
541 Swadloon     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
542 Leavanny     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
543 Venipede     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
544 Whirlipede   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
545 Scolipede    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
546 Cottonee     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
547 Whimsicott   ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
548 Petilil      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
549 Lilligant    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
550 Basculin     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Red-Striped      ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Blue-Striped     ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
White-Striped    ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
551 Sandile      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
552 Krokorok     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
553 Krookodile   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
554 Darumaka     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
555 Darmanitan   ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
556 Maractus     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
557 Dwebble      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
558 Crustle      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
559 Scraggy      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
560 Scrafty      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
561 Sigilyph     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
562 Yamask       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
563 Cofagrigus   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
564 Tirtouga     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
565 Carracosta   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
566 Archen       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
567 Archeops     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
568 Trubbish     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
569 Garbodor     ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           ,       ,         , -, 11,     ,   
570 Zorua        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
571 Zoroark      ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
572 Minccino     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
573 Cinccino     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
574 Gothita      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
575 Gothorita    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
576 Gothitelle   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
577 Solosis      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
578 Duosion      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
579 Reuniclus    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
580 Ducklett     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
581 Swanna       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
582 Vanillite    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
583 Vanillish    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
584 Vanilluxe    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
585 Deerling     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Spring           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Summer           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Fall             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Winter           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
586 Sawsbuck     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Spring           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Summer           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Fall             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Winter           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
587 Emolga       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
588 Karrablast   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
589 Escavalier   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
590 Foongus      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
591 Amoonguss    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
592 Frillish     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
593 Jellicent    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
594 Alomomola    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
595 Joltik       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
596 Galvantula   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
597 Ferroseed    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
598 Ferrothorn   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
599 Klink        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
600 Klang        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
601 Klinklang    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
602 Tynamo       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
603 Eelektrik    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
604 Eelektross   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
605 Elgyem       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
606 Beheeyem     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
607 Litwick      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
608 Lampent      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
609 Chandelure   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
610 Axew         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       , -       , -,  7,     ,   
611 Fraxure      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       , -       , -,  7,     ,   
612 Haxorus      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       , -       , -,  7,     ,   
613 Cubchoo      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
614 Beartic      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
615 Cryogonal    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
616 Shelmet      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
617 Accelgor     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
618 Stunfisk     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
619 Mienfoo      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
620 Mienshao     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
621 Druddigon    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
622 Golett       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
623 Golurk       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
624 Pawniard     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
625 Bisharp      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
626 Bouffalant   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
627 Rufflet      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
