Pokemon          , Pokedex,     , Living,     , Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
368 Gorebyss     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
369 Relicanth    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
370 Luvdisc      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
371 Bagon        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
372 Shelgon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
373 Salamence    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
374 Beldum       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
375 Metang       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
376 Metagross    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
377 Regirock     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
378 Regice       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
379 Registeel    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
380 Latias       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 13,     ,   
381 Latios       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 13,     ,   
382 Kyogre       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
383 Groudon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
384 Rayquaza     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -, 10,     ,   
385 Jirachi      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
386 Deoxys       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Normal           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Attack           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Defense          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Speed            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
SINNOH           ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
387 Turtwig      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
388 Grotle       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
389 Torterra     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
390 Chimchar     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
391 Monferno     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
392 Infernape    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
393 Piplup       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
394 Prinplup     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
395 Empoleon     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
396 Starly       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
397 Staravia     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
398 Staraptor    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
399 Bidoof       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
400 Bibarel      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
401 Kricketot    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
402 Kricketune   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
403 Shinx        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
404 Luxio        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
405 Luxray       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
406 Budew        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
407 Roserade     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
408 Cranidos     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
409 Rampardos    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
410 Shieldon     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
411 Bastiodon    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
412 Burmy        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Plant Cloak      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Sandy Cloak      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Trash Cloak      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
413 Wormadam     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Plant Cloak      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Sandy Cloak      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Trash Cloak      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
414 Mothim       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
415 Combee       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
416 Vespiquen    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
417 Pachirisu    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
418 Buizel       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
419 Floatzel     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
420 Cherubi      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
421 Cherrim      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Overcast         ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Sunny            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
422 Shellos      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
East             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
West             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
423 Gastrodon    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
East             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
West             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
424 Ambipom      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
425 Drifloon     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
426 Drifblim     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
427 Buneary      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
428 Lopunny      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -, 10,     ,   
429 Mismagius    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
430 Honchkrow    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
431 Glameow      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
432 Purugly      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
433 Chingling    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
434 Stunky       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
435 Skuntank     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
436 Bronzor      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
437 Bronzong     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
438 Bonsly       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
439 Mime Jr.     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
440 Happiny      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
441 Chatot       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
442 Spiritomb    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
443 Gible        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
444 Gabite       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
445 Garchomp     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
446 Munchlax     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
447 Riolu        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
448 Lucario      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -, 10,     ,   
449 Hippopotas   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
450 Hippowdon    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
451 Skorupi      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
452 Drapion      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
453 Croagunk     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
454 Toxicroak    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
455 Carnivine    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
456 Finneon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
457 Lumineon     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
458 Mantyke      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
459 Snover       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
460 Abomasnow    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
461 Weavile      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
462 Magnezone    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
463 Lickilicky   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
464 Rhyperior    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
465 Tangrowth    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
466 Electivire   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
467 Magmortar    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
468 Togekiss     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
469 Yanmega      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
470 Leafeon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
471 Glaceon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
472 Gliscor      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
473 Mamoswine    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
474 Porygon-Z    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
475 Gallade      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
476 Probopass    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
477 Dusknoir     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
478 Froslass     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
479 Rotom        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Heat             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Wash             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Frost            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Fan              ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Mow              ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
480 Uxie         ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -, 10,     ,   
481 Mesprit      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -, 10,     ,   
482 Azelf        ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -, 10,     ,   
483 Dialga       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Origin           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Altered          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
484 Palkia       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Origin           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Altered          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
485 Heatran      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
486 Regigigas    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
487 Giratina     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Origin           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Altered          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
488 Cresselia    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
489 Phione       , -      ,     , -     ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
490 Manaphy      , -      ,     , -     ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
491 Darkrai      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
492 Shaymin      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Land             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Sky              ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
493 Arceus       , -      , -   , -     , -   , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
UNOVA            ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
494 Victini      ,        ,     ,       ,     , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  8,     ,   
495 Snivy        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
496 Servine      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
497 Serperior    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
498 Tepig        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
499 Pignite      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
500 Emboar       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
501 Oshawott     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
502 Dewott       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
503 Samurott     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Hisuian          ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
504 Patrat       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
505 Watchog      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
506 Lillipup     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
507 Herdier      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
508 Stoutland    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
509 Purrloin     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
510 Liepard      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
511 Pansage      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
512 Simisage     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
513 Pansear      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
514 Simisear     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
515 Panpour      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
516 Simipour     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
517 Munna        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
518 Musharna     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
519 Pidove       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
520 Tranquill    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
521 Unfezant     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
522 Blitzle      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
523 Zebstrika    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
524 Roggenrola   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
525 Boldore      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
526 Gigalith     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
527 Woobat       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
528 Swoobat      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
529 Drilbur      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
530 Excadrill    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
531 Audino       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -, 10,     ,   
532 Timburr      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
533 Gurdurr      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
534 Conkeldurr   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
535 Tympole      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
536 Palpitoad    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
537 Seismitoad   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
538 Throh        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
539 Sawk         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
540 Sewaddle     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
541 Swadloon     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
542 Leavanny     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
543 Venipede     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
544 Whirlipede   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
545 Scolipede    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
546 Cottonee     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
547 Whimsicott   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
548 Petilil      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
549 Lilligant    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
550 Basculin     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Red-Striped      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Blue-Striped     ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
White-Striped    ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
551 Sandile      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
552 Krokorok     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
553 Krookodile   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
554 Darumaka     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
555 Darmanitan   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
556 Maractus     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
557 Dwebble      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
558 Crustle      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
559 Scraggy      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
560 Scrafty      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
